County,FIPS,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,,
San Francisco,6075,3.46,3.52,3.52,3.55,3.49,3.52,3.47,3.31,0.96,0.18,0.38,0.82,1.04,1
Santa Clara,6085,3.66,3.69,3.69,3.72,3.7,3.71,3.68,3.37,1.06,0.18,0.43,0.91,1.33,3
Alpine,6003,3.4,3.56,3.76,3.88,3.63,3.36,3.83,3.63,2.43,1.39,1.25,0.97,2.51,5
Marin,6041,3.61,3.65,3.65,3.66,3.69,3.68,3.65,3.52,1.17,0.18,0.47,1.03,1.67,7
San Mateo,6081,3.65,3.68,3.68,3.71,3.68,3.71,3.67,3.49,1.17,0.18,0.45,1.03,1.77,9
Alameda,6001,3.6,3.64,3.65,3.67,3.55,3.66,3.63,3.46,1.16,0.18,0.42,1.17,1.93,11
Mono,6051,3.25,3.34,3.29,3.3,3.35,3.35,3.34,3.31,2.47,0.67,0.94,1.57,2.23,13
Contra Costa,6013,3.67,3.71,3.71,3.73,3.47,3.74,3.72,3.6,1.31,0.18,0.47,1.64,2.48,15
Santa Cruz,6087,3.53,3.58,3.56,3.56,3.53,3.58,3.55,3.42,2,0.18,0.46,1.85,2.5,17
Orange,6059,3.72,3.73,3.71,3.74,3.72,3.74,3.75,3.67,2.43,0.18,0.93,1.9,2.67,19
San Diego,6073,3.72,3.75,3.73,3.75,3.72,3.76,3.76,3.67,2.47,0.23,0.84,1.92,2.63,21
Sierra,6091,3.18,3.08,3.46,3.47,3.35,3.56,3.5,3.34,2.32,0.73,0.58,1.92,2.43,23
El Dorado,6017,3.74,3.79,3.79,3.8,3.46,3.81,3.8,3.54,2.5,0.19,0.54,1.98,2.77,25
Ventura,6111,3.69,3.72,3.72,3.74,3.72,3.75,3.74,3.65,2.53,0.18,0.83,2.21,2.7,27
Trinity,6105,2.67,2.93,2.93,2.93,2.69,3.12,2.86,2.94,2.47,0.39,0.87,2.24,2.66,29
Yolo,6113,3.53,3.56,3.54,3.54,3.51,3.53,3.52,3.48,2.27,0.18,0.57,2.25,2.7,31
Los Angeles,6037,3.68,3.7,3.69,3.72,3.69,3.72,3.72,3.63,2.49,0.18,0.95,2.26,2.73,33
Placer,6061,3.7,3.72,3.73,3.74,3.73,3.75,3.74,3.63,2.52,0.18,0.56,2.26,2.76,35
Napa,6055,3.53,3.58,3.56,3.59,3.56,3.59,3.58,3.5,2.48,0.24,0.59,2.29,2.77,37
Sonoma,6097,3.6,3.64,3.65,3.65,3.63,3.67,3.65,3.61,2.42,0.18,0.51,2.29,2.79,39
Mariposa,6043,3.29,3.6,3.51,3.66,3.4,3.59,3.63,3.34,2.58,0.84,1.27,2.31,2.96,41
Santa Barbara,6083,3.55,3.57,3.56,3.56,3.54,3.56,3.56,3.5,2.48,0.28,0.96,2.34,2.76,43
Amador,6005,3.78,3.87,3.86,3.88,3.44,3.9,3.86,3.71,2.66,0.83,1.04,2.35,2.86,45
Nevada,6057,3.66,3.71,3.71,3.74,3.73,3.76,3.72,3.41,2.66,0.19,0.59,2.35,2.86,47
Plumas,6063,3.16,3.32,3.28,3.39,3.29,3.33,3.35,3.07,2.25,0.82,1.09,2.36,2.6,49
San Luis Obispo,6079,3.61,3.64,3.62,3.61,3.6,3.62,3.6,3.53,2.54,0.36,1.18,2.37,2.76,51
Inyo,6027,3.38,3.44,3.38,3.45,3.5,3.41,3.46,3.38,2.91,1.58,1.89,2.39,2.79,53
Monterey,6053,3.57,3.64,3.64,3.65,3.61,3.65,3.65,3.56,2.56,0.23,1.11,2.44,2.81,55
Humboldt,6023,3.4,3.49,3.48,3.49,3.58,3.52,3.51,3.49,2.74,0.22,0.65,2.46,2.84,57
Riverside,6065,3.73,3.76,3.74,3.77,3.73,3.78,3.78,3.71,2.76,1,1.66,2.47,2.89,59
Lake,6033,3.48,3.53,3.56,3.62,3.52,3.65,3.59,3.5,2.68,0.73,1.19,2.59,2.77,61
Sacramento,6067,3.7,3.74,3.74,3.76,3.73,3.77,3.76,3.7,2.62,0.32,1,2.59,2.94,63
Solano,6095,3.64,3.68,3.68,3.7,3.67,3.7,3.7,3.64,2.57,0.48,1.21,2.6,2.95,65
Mendocino,6045,3.38,3.44,3.46,3.5,3.47,3.49,3.49,3.43,2.73,0.88,1.26,2.61,2.83,67
San Benito,6069,3.63,3.65,3.65,3.67,3.7,3.7,3.67,3.58,2.56,1.02,1.38,2.61,2.85,69
Tuolumne,6109,3.63,3.7,3.69,3.7,3.67,3.73,3.71,3.52,2.82,0.81,1.36,2.65,3.01,71
Modoc,6049,2.93,3.07,3.1,3.14,3.23,3.26,3.28,3.22,2.73,1.86,2.26,2.69,2.83,73
San Bernardino,6071,3.75,3.78,3.77,3.78,3.75,3.8,3.8,3.75,2.95,1.32,1.95,2.75,3.03,75
Kern,6029,3.63,3.68,3.68,3.69,3.44,3.71,3.71,3.69,2.95,1.54,2.07,2.82,3.03,77
Butte,6007,3.54,3.6,3.61,3.62,3.81,3.62,3.6,3.59,2.84,0.63,1.19,2.84,2.97,79
Fresno,6019,3.68,3.73,3.73,3.73,3.79,3.76,3.76,3.73,2.88,0.93,1.66,2.84,3.02,81
Lassen,6035,3.29,3.49,3.46,3.48,3.41,3.5,3.52,3.29,2.84,1.23,1.83,2.84,2.96,83
Siskiyou,6093,3.42,3.5,3.48,3.5,3.45,3.55,3.56,3.38,2.92,1.1,1.44,2.84,3.05,85
Imperial,6025,3.48,3.52,3.52,3.49,3.44,3.55,3.56,3.51,2.8,1.77,2.4,2.85,2.9,87
San Joaquin,6077,3.65,3.69,3.69,3.71,3.68,3.72,3.72,3.68,2.8,1.26,1.62,2.87,2.98,89
Calaveras,6009,3.79,3.86,3.91,3.88,3.59,3.93,3.9,3.78,2.93,1.21,1.4,2.9,2.98,91
Kings,6031,3.5,3.55,3.55,3.58,3.66,3.59,3.58,3.51,2.84,1.53,2.19,2.9,3.03,93
Madera,6039,3.59,3.68,3.67,3.69,3.63,3.71,3.72,3.64,2.85,1.35,1.93,2.9,2.99,95
Tulare,6107,3.59,3.63,3.63,3.64,3.6,3.66,3.66,3.64,2.9,1.58,2.25,2.92,3.05,97
Stanislaus,6099,3.62,3.67,3.66,3.68,3.65,3.69,3.69,3.64,2.91,1.45,1.95,2.95,3.02,99
Del Norte,6015,3.41,3.46,3.48,3.49,3.71,3.51,3.53,3.52,3.03,1.69,1.81,3.03,3,101
Glenn,6021,3.49,3.53,3.57,3.59,3.7,3.56,3.56,3.56,2.9,1.91,2.19,3.04,3.07,103
Shasta,6089,3.65,3.71,3.72,3.73,3.67,3.75,3.72,3.69,3.07,1.23,1.56,3.04,3.17,105
Colusa,6011,3.45,3.58,3.49,3.56,3.85,3.59,3.5,3.58,2.93,1.97,2.14,3.08,3.17,107
Merced,6047,3.54,3.6,3.59,3.61,3.58,3.63,3.62,3.58,2.9,1.49,2.03,3.09,3.05,109
Yuba,6115,3.73,3.84,3.83,3.82,3.79,3.86,3.86,3.8,2.98,1.11,1.71,3.14,3.21,111
Tehama,6103,3.59,3.66,3.69,3.67,3.63,3.72,3.69,3.72,3.09,1.82,2.14,3.26,3.24,113
Sutter,6101,3.59,3.63,3.63,3.64,3.62,3.65,3.65,3.62,2.9,1.69,2.04,3.27,3.06,115
