County,FIPS,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,,
Lake,17097,3.78,3.79,3.78,3.81,3.83,3.84,3.84,3.76,2.53,0.91,1.13,1.6,1.53,1
DuPage,17043,3.73,3.74,3.72,3.75,3.77,3.79,3.78,3.71,2.57,0.8,1.05,1.64,1.47,3
Cook,17031,3.67,3.71,3.69,3.71,3.72,3.73,3.74,3.67,2.69,1.06,1.27,2.25,2.29,5
Kane,17089,3.81,3.82,3.81,3.83,3.85,3.87,3.86,3.8,2.84,1.08,1.35,2.26,2.4,7
McHenry,17125,3.82,3.83,3.81,3.84,3.86,3.86,3.87,3.81,2.92,1.17,1.44,2.27,2.48,9
Kendall,17093,3.89,3.91,3.9,3.91,3.93,3.94,3.95,3.88,2.89,1.35,1.48,2.39,2.51,11
Will,17197,3.83,3.85,3.83,3.86,3.88,3.88,3.89,3.82,2.88,1.35,1.49,2.49,2.58,13
McLean,17127,3.71,3.74,3.7,3.7,3.7,3.7,3.75,3.73,2.82,1.3,1.63,2.54,2.66,15
Champaign,17019,3.63,3.69,3.66,3.67,3.63,3.6,3.61,3.62,2.77,1.26,1.62,2.55,2.67,17
Stark,17175,3.98,4,4,4.05,4.11,4.06,4.08,3.87,2.82,1.86,2.06,2.89,2.74,19
DeKalb,17039,3.74,3.77,3.75,3.76,3.76,3.77,3.8,3.79,2.97,1.77,2.67,2.95,2.99,21
Boone,17007,3.95,3.97,3.94,3.99,4.01,4.02,4.02,3.97,3.18,1.91,2.39,3.02,3.12,23
Peoria,17143,3.77,3.81,3.78,3.8,3.82,3.82,3.83,3.79,3.19,1.64,2.15,3.03,2.96,25
Douglas,17041,3.93,4.02,3.82,3.95,4.02,4.01,3.99,3.87,2.95,2.3,2.66,3.05,2.99,27
Jackson,17077,3.77,3.82,3.79,3.78,3.78,3.82,3.86,3.87,3.06,1.88,2.38,3.05,3.11,29
Montgomery,17135,3.64,3.81,3.73,3.76,3.85,3.8,3.91,3.84,2.9,2.01,2.41,3.06,3.05,31
Piatt,17147,4.01,4.04,4.04,4.07,4.15,4.12,4.14,3.97,3.34,2.21,2.62,3.07,3.05,33
Woodford,17203,4.08,4.08,4.06,4.07,4.1,4.09,4.11,4,3.13,1.96,2.26,3.07,3.06,35
Marshall,17117,3.98,4.05,3.96,3.99,4.1,4.13,4.12,3.92,3.19,2.16,2.64,3.09,3.19,37
Monroe,17133,4.08,4.08,4.07,4.12,4.14,4.13,4.15,4.05,3.17,2.03,2.08,3.11,3.16,39
Henry,17073,3.9,3.92,3.9,3.94,3.98,3.98,4.01,3.93,3.04,2.14,2.71,3.12,3.08,41
Sangamon,17167,3.78,3.82,3.79,3.81,3.83,3.84,3.86,3.79,2.9,1.63,2.18,3.12,3,43
Ford,17053,3.72,3.82,3.78,3.65,3.9,3.93,3.96,3.89,2.81,2.2,2.58,3.13,3.06,45
Grundy,17063,3.78,3.86,3.83,3.85,3.87,3.9,3.91,3.88,2.96,2.05,2.32,3.13,3.1,47
Menard,17129,4.12,4.17,4.14,4.14,4.2,4.21,4.21,4.04,3.07,1.77,2.54,3.13,3.2,49
Macoupin,17111,3.87,3.95,3.92,3.98,4,4.03,4.06,4.01,3.07,2.28,2.47,3.14,3.12,51
St. Clair,17163,3.85,3.88,3.86,3.89,3.9,3.91,3.92,3.88,3.1,1.89,2.08,3.14,3.08,53
Crawford,17033,3.65,3.69,3.67,3.76,3.75,3.75,3.79,3.74,3.05,2.61,2.88,3.15,3.21,55
De Witt,17037,3.85,3.91,3.81,3.81,3.98,3.86,3.99,3.86,2.97,2.32,2.08,3.16,3.11,57
Jo Daviess,17085,3.88,3.89,3.8,3.92,3.89,3.95,3.92,3.9,3.15,2.03,2.62,3.17,3.06,59
Madison,17113,3.84,3.87,3.84,3.88,3.89,3.9,3.92,3.87,3.06,1.95,2.21,3.18,3.17,61
Livingston,17105,3.66,3.72,3.69,3.68,3.8,3.77,3.84,3.77,2.95,2.16,2.47,3.19,3.01,63
Morgan,17137,3.56,3.63,3.58,3.59,3.61,3.63,3.67,3.62,3.11,1.84,2.58,3.19,3.17,65
Whiteside,17195,3.66,3.71,3.69,3.72,3.72,3.75,3.75,3.69,3.02,2.04,2.57,3.19,3.23,67
Carroll,17015,3.97,4.06,3.95,4.08,4.06,4.15,4.12,4.03,3.32,2.42,2.87,3.2,3.48,69
Ogle,17141,3.95,3.99,3.97,4.05,4.04,4.08,4.1,4,2.97,2.37,2.55,3.2,3.16,71
Kankakee,17091,3.69,3.73,3.71,3.71,3.73,3.74,3.77,3.74,2.98,2.04,2.37,3.22,3.11,73
LaSalle,17099,3.68,3.71,3.69,3.72,3.76,3.77,3.8,3.74,3.01,2.06,2.44,3.22,3.11,75
Rock Island,17161,3.73,3.76,3.75,3.76,3.76,3.79,3.8,3.77,3.08,2.14,2.57,3.22,3.16,77
Cass,17017,3.91,4.03,3.9,3.93,4.1,4.08,4.11,4.05,2.99,2.26,2.73,3.23,3.28,79
Christian,17021,3.75,3.76,3.68,3.74,3.82,3.8,3.88,3.83,2.94,2.35,2.8,3.23,3.18,81
Coles,17029,3.65,3.68,3.64,3.65,3.66,3.68,3.69,3.67,3.02,2.14,2.62,3.24,3.12,83
Pope,17151,4.19,4.25,4.2,4.26,4.23,4.33,4.27,4.23,3.53,2.16,2.76,3.24,3.39,85
Winnebago,17201,3.78,3.81,3.78,3.82,3.82,3.85,3.85,3.82,3.07,1.87,2.37,3.24,3.21,87
Stephenson,17177,3.7,3.72,3.69,3.74,3.72,3.77,3.77,3.74,3.04,2.15,2.82,3.25,3.32,89
Wabash,17185,3.95,3.96,3.95,4.05,3.94,3.96,4.03,3.97,3.3,2.5,2.96,3.25,3.19,91
Warren,17187,3.82,3.9,3.89,3.86,3.91,3.94,3.99,3.9,2.89,2.59,2.99,3.26,3.21,93
Edgar,17045,3.61,3.65,3.66,3.72,3.74,3.7,3.77,3.69,3.05,2.61,2.92,3.27,3.21,95
McDonough,17123,3.56,3.59,3.57,3.49,3.52,3.54,3.63,3.76,2.99,2.59,2.9,3.27,3.18,97
Moultrie,17139,3.98,4.01,3.93,3.99,4.03,4.04,4.1,4.05,3.16,2.48,2.72,3.28,3.32,99
Randolph,17157,3.87,3.95,3.89,3.94,4,3.98,4.03,3.98,2.91,2.72,2.68,3.28,3.32,101
Lee,17103,3.79,3.85,3.86,3.89,3.9,3.91,3.93,3.87,3.05,2.43,2.81,3.3,3.18,103
