County,FIPS,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,,
Orleans,22071,3.65,3.69,3.67,3.66,3.66,3.62,3.7,3.67,2.83,1.66,1.94,2.6,2.78,1
West Feliciana,22125,4.09,4.15,4.09,4.13,4.14,4.12,4.12,4.13,3.32,2.47,2.58,2.96,3.24,3
East Baton.,22033,3.86,3.89,3.89,3.88,3.89,3.88,3.89,3.88,3.25,2.36,2.58,3.09,3.21,5
Ascension,22005,3.98,4,4,4.01,4.01,4,4.03,4.01,3.35,2.46,2.56,3.19,3.29,7
St. Tammany,22103,3.88,3.9,3.9,3.91,3.94,3.9,3.94,3.91,3.25,2.54,2.64,3.19,3.26,9
St. James,22093,3.9,3.96,3.97,4.01,4.09,4.05,4.03,4.04,3.4,2.66,2.52,3.2,3.2,11
Plaquemines,22075,3.92,3.94,3.95,3.97,4.01,3.93,3.99,3.96,3.33,2.73,2.98,3.21,3.2,13
Jefferson,22051,3.77,3.81,3.81,3.81,3.85,3.76,3.83,3.8,3.17,2.85,3,3.23,3.23,15
St. John the Baptist,22095,3.82,3.88,3.87,3.89,3.89,3.87,3.94,3.91,3.39,2.92,2.84,3.24,3.29,17
Lafourche,22057,3.87,3.89,3.89,3.91,3.91,3.89,3.92,3.9,3.37,2.79,2.89,3.25,3.36,19
St. Mary,22101,3.61,3.69,3.69,3.7,3.71,3.75,3.76,3.79,3.29,2.9,3.04,3.27,3.23,21
Terrebonne,22109,3.73,3.77,3.77,3.77,3.79,3.76,3.81,3.79,3.31,2.85,2.93,3.27,3.27,23
Catahoulaa,22025,3.97,4.06,4.12,4.11,4.1,4.12,4.13,4.15,3.31,2.6,2.77,3.29,3.44,25
Lafayette,22055,3.85,3.87,3.87,3.87,3.87,3.86,3.89,3.88,3.32,2.66,2.93,3.3,3.37,27
LaSalle,22059,3.93,3.92,3.89,3.94,3.98,3.96,3.98,3.95,3.32,2.4,3.05,3.31,3.34,29
Vernon,22115,3.87,3.91,3.89,3.91,3.89,3.94,3.94,3.96,3.36,2.91,2.98,3.31,3.42,31
Natchitoches,22069,3.78,3.82,3.79,3.78,3.77,3.84,3.79,3.83,3.38,2.71,2.65,3.32,3.29,33
St. Charles,22089,3.99,4.03,4.03,4.04,4.07,4.06,4.08,4.03,3.42,2.91,2.94,3.33,3.334,35
Concordia,22029,3.86,3.9,3.91,3.91,3.91,3.97,3.95,3.96,3.39,2.67,2.97,3.34,3.35,37
St. Bernard,22087,3.85,3.89,3.91,3.88,3.94,3.89,3.94,3.91,3.34,3.02,3.1,3.35,3.38,39
Allen,22003,3.96,3.97,3.95,3.95,3.97,4.01,4.05,4.03,3.38,2.67,2.81,3.36,3.42,41
Lincoln,22061,3.76,3.75,3.74,3.72,3.75,3.82,3.88,3.81,3.33,2.34,2.69,3.36,3.31,43
Iberville,22047,4,4.08,4.08,4.07,4.08,3.91,4.11,4.09,3.44,2.73,2.87,3.37,3.44,45
Jefferson Davis,22053,3.98,3.99,4.01,4.03,4.03,4.05,4.11,4.1,3.56,2.86,3.13,3.37,3.46,47
Assumption,22007,4.11,4.17,4.18,4.17,4.18,4.18,4.22,4.18,3.61,2.72,2.82,3.4,3.45,49
Pointe Coupee,22077,4.14,4.17,4.18,4.2,4.19,4.14,4.24,4.21,3.62,2.75,3,3.4,3.52,51
St. Landry,22097,4,4.04,4.05,4.05,4.05,4.02,4.08,4.08,3.52,2.83,3.04,3.41,3.5,53
Calcasieu,22019,3.85,3.87,3.87,3.87,3.88,3.88,3.9,3.9,3.44,2.98,3.19,3.42,3.47,55
West Baton Rouge,22121,4.03,4.04,4.04,4.05,4.06,4.04,4.09,4.06,3.49,2.96,3.07,3.42,3.46,57
Caddo,22017,3.91,3.94,3.94,3.94,3.92,3.97,3.97,3.93,3.36,2.82,2.79,3.43,3.39,59
Madison,22065,3.67,3.82,3.86,3.89,3.84,3.95,4,3.98,3.4,2.83,3.1,3.43,3.41,61
Acadia,22001,4.02,4.05,4.05,4.07,4.05,4.05,4.08,4.09,3.62,2.91,3.22,3.46,3.55,63
Bienville,22013,4.15,4.15,4.22,4.2,4.23,4.21,4.27,4.26,3.61,2.78,2.86,3.46,3.54,65
Evangeline,22039,3.92,3.94,3.96,3.99,3.98,3.98,4.01,4.02,3.41,2.81,3.08,3.46,3.54,67
St. Martin,22099,4.04,4.07,4.06,4.09,4.08,4.05,4.1,4.1,3.6,2.82,3.07,3.46,3.59,69
Tangipahoa,22105,3.95,4,3.99,4,4,3.98,4.01,4.01,3.51,2.8,2.97,3.46,3.48,71
Webster,22119,3.94,3.95,3.96,3.97,3.98,3.99,4.02,3.98,3.5,2.84,2.85,3.48,3.41,73
