County,FIPS,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,,
New York,36061,3.15,3.24,3.26,3.3,3.21,3.26,3.25,3.07,1.26,0.18,0.4,0.57,0.48,1
Kings,36047,3.34,3.44,3.45,3.47,3.4,3.46,3.46,3.35,2.06,0.79,0.72,0.82,0.71,3
Queens,36081,3.55,3.62,3.63,3.64,3.59,3.64,3.63,3.54,2.38,1.46,1,1.11,0.79,5
Bronx,36005,3.22,3.39,3.4,3.42,3.32,3.42,3.43,3.33,2.2,1.1,1.03,1.15,1.01,7
Nassau,36059,3.69,3.7,3.71,3.72,3.77,3.73,3.73,3.61,2.34,1.24,1.09,1.19,1.04,9
Westchester,36119,3.72,3.74,3.75,3.76,3.77,3.76,3.75,3.6,2.17,1.11,1.13,1.25,1.13,11
Richmond,36085,3.69,3.71,3.72,3.74,3.73,3.74,3.74,3.65,2.45,2.1,1.43,1.49,1.08,13
Rockland,36087,3.77,3.79,3.78,3.8,3.83,3.81,3.8,3.69,2.48,1.25,1.3,1.51,1.31,15
Tompkins,36109,3.54,3.68,3.41,3.58,3.4,3.43,3.38,3.47,2.41,0.98,1.12,1.51,1.3,17
Putnam,36079,3.91,3.93,3.94,3.96,3.98,3.97,3.97,3.86,2.85,1.68,1.6,1.86,1.77,19
Suffolk,36103,3.81,3.83,3.83,3.84,3.86,3.85,3.85,3.78,2.84,1.88,1.67,1.93,2.03,21
Saratoga,36091,3.91,3.92,3.87,3.93,3.93,3.95,3.96,3.86,2.94,1.77,1.78,2.14,2.35,23
Dutchess,36027,3.9,3.91,3.9,3.92,3.9,3.93,3.93,3.84,3.01,1.81,1.84,2.18,2.21,25
Monroe,36055,3.81,3.83,3.77,3.83,3.83,3.84,3.86,3.78,2.89,1.4,1.51,2.23,2.23,27
Orange,36071,3.85,3.86,3.85,3.88,3.87,3.9,3.91,3.82,2.93,1.93,1.87,2.25,2.28,29
Otsego,36077,3.71,3.8,3.57,3.6,3.48,3.48,3.67,3.78,2.84,1.86,1.9,2.26,2.47,31
Albany,36001,3.75,3.77,3.75,3.78,3.75,3.77,3.78,3.71,2.82,1.62,1.78,2.29,2.23,33
Onondaga,36067,3.78,3.79,3.69,3.79,3.78,3.79,3.81,3.78,2.96,1.62,1.74,2.4,2.29,35
Erie,36029,3.79,3.8,3.79,3.82,3.81,3.76,3.83,3.77,2.92,1.58,1.84,2.44,2.32,37
Schenectady,36093,3.7,3.72,3.68,3.72,3.75,3.75,3.76,3.68,2.9,2,2,2.49,2.48,39
Madison,36053,3.9,3.95,3.78,3.95,3.93,3.92,3.97,3.9,3.13,1.9,2.01,2.6,2.41,41
St. Lawrence,36089,3.59,3.73,3.55,3.69,3.62,3.5,3.66,3.76,2.98,2,1.85,2.6,2.5,43
Clinton,36019,3.78,3.8,3.43,3.82,3.76,3.76,3.73,3.76,3.01,1.95,1.98,2.64,2.87,45
Ontario,36069,3.92,3.94,3.82,3.95,3.94,3.95,3.97,3.9,3,1.87,1.99,2.66,2.63,47
Ulster,36111,3.85,3.88,3.85,3.86,3.87,3.89,3.9,3.79,3.04,2.27,2.19,2.71,2.57,49
Broome,36007,3.73,3.77,3.67,3.77,3.71,3.73,3.79,3.68,3,1.93,2.03,2.72,2.68,51
Rensselaerr,36083,3.86,3.88,3.84,3.88,3.87,3.89,3.92,3.86,3.03,2.08,2.28,2.73,2.66,53
Warren,36113,3.7,3.71,3.62,3.7,3.7,3.73,3.74,3.71,2.94,2.21,2.17,2.76,2.67,55
Delaware,36025,3.71,3.82,3.74,3.83,3.78,3.87,3.8,3.68,3.02,2.25,2.41,2.77,2.73,57
Niagara,36063,3.85,3.86,3.85,3.88,3.86,3.84,3.91,3.88,3.04,1.99,2.16,2.8,2.75,59
