County,FIPS,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,,
Montgomery,42091,3.81,3.81,3.82,3.84,3.84,3.84,3.84,3.67,2.29,1.26,1.28,1.61,1.46,1
Chester,42029,3.91,3.92,3.93,3.94,3.94,3.95,3.95,3.81,2.26,1.27,1.37,1.67,1.53,3
Centre,42027,3.67,3.67,3.63,3.55,3.45,3.47,3.71,3.86,2.44,1.17,1.3,1.83,1.89,5
Allegheny,42003,3.73,3.73,3.71,3.74,3.74,3.75,3.77,3.71,2.61,1.33,1.55,2.01,2.02,7
Bucks,42017,3.85,3.86,3.86,3.88,3.88,3.89,3.88,3.78,2.67,1.64,1.55,2.1,1.91,9
Delaware,42045,3.71,3.72,3.72,3.74,3.74,3.74,3.75,3.63,2.5,1.5,1.5,2.1,2.02,11
Monroe,42089,3.87,3.92,3.91,3.93,3.92,3.95,3.95,3.9,2.99,1.75,1.7,2.18,2.12,13
Butler,42019,3.92,3.93,3.9,3.95,3.95,3.95,3.97,3.9,2.91,1.54,1.73,2.23,2.23,15
Pike,42103,4.03,4.07,4,4.11,4.11,4.12,4.13,4.02,3.12,1.94,1.73,2.33,2.02,17
Northampton,42095,3.84,3.84,3.85,3.86,3.85,3.86,3.87,3.79,2.91,1.81,1.72,2.34,2.33,19
Lehigh,42077,3.8,3.82,3.82,3.82,3.83,3.84,3.85,3.77,2.87,1.77,1.65,2.38,2.29,21
Cumberland,42041,3.8,3.82,3.82,3.83,3.83,3.84,3.85,3.78,2.89,1.82,1.71,2.42,2.33,23
Philadelphia,42101,3.56,3.61,3.61,3.6,3.59,3.63,3.65,3.57,2.58,1.86,1.87,2.48,2.22,25
Dauphin,42043,3.79,3.8,3.81,3.82,3.82,3.83,3.84,3.79,2.93,1.98,1.91,2.67,2.56,27
Juniata,42067,3.95,3.98,4,4.06,4.03,4.05,4.05,4.02,3.25,1.99,2.21,2.67,2.69,29
