GeoFips,GeoName,2018
1001,"Autauga, AL",76.4
1003,"Baldwin, AL",83.7
1005,"Barbour, AL",64.6
1007,"Bibb, AL",55.6
1009,"Blount, AL",64.2
1011,"Bullock, AL",52.9
1013,"Butler, AL",66.9
1015,"Calhoun, AL",68.2
1017,"Chambers, AL",62.2
1019,"Cherokee, AL",65.2
1021,"Chilton, AL",63.9
1023,"Choctaw, AL",72.1
1025,"Clarke, AL",66.8
1027,"Clay, AL",61.6
1029,"Cleburne, AL",66.4
1031,"Coffee, AL",79.1
1033,"Colbert, AL",70.5
1035,"Conecuh, AL",60
1037,"Coosa, AL",57.5
1039,"Covington, AL",65.5
1041,"Crenshaw, AL",67.3
1043,"Cullman, AL",72.7
1045,"Dale, AL",67.2
1047,"Dallas, AL",66.2
1049,"DeKalb, AL",58.6
1051,"Elmore, AL",77.6
1053,"Escambia, AL",60.6
1055,"Etowah, AL",67.8
1057,"Fayette, AL",64.2
1059,"Franklin, AL",63
1061,"Geneva, AL",64.6
1063,"Greene, AL",59.4
1065,"Hale, AL",67.2
1067,"Henry, AL",74.1
1069,"Houston, AL",77.9
1071,"Jackson, AL",67.2
1073,"Jefferson, AL",100.5
1075,"Lamar, AL",61.5
1077,"Lauderdale, AL",68.2
1079,"Lawrence, AL",62.7
1081,"Lee, AL",69.9
1083,"Limestone, AL",78.1
1085,"Lowndes, AL",71.6
1087,"Macon, AL",60.5
1089,"Madison, AL",94.5
1091,"Marengo, AL",73.1
1093,"Marion, AL",61.1
1095,"Marshall, AL",66.2
1097,"Mobile, AL",70.2
1099,"Monroe, AL",61.4
1101,"Montgomery, AL",80.2
1103,"Morgan, AL",73.5
1105,"Perry, AL",56.1
1107,"Pickens, AL",59.8
1109,"Pike, AL",68.6
1111,"Randolph, AL",59.5
1113,"Russell, AL",60.8
1115,"St. Clair, AL",70.8
1117,"Shelby, AL",99.9
1119,"Sumter, AL",58.2
1121,"Talladega, AL",63.8
1123,"Tallapoosa, AL",74.7
1125,"Tuscaloosa, AL",71.3
1127,"Walker, AL",73.8
1129,"Washington, AL",66.7
1131,"Wilcox, AL",59.2
1133,"Winston, AL",65.1
2010,"Aleutian Islands Census Area, AK*",(NA)
2013,"Aleutians East Borough, AK*",104.1
2016,"Aleutians West Census Area, AK*",99.9
2020,"Anchorage Municipality, AK",122.2
2050,"Bethel Census Area, AK*",79.9
2060,"Bristol Bay Borough, AK",263.7
2068,"Denali Borough, AK*",152.3
2070,"Dillingham Census Area, AK*",109.5
2090,"Fairbanks North Star Borough, AK",104
2100,"Haines Borough, AK",123.2
2105,"Hoonah-Angoon Census Area, AK*",113.4
2110,"Juneau City and Borough, AK",125.2
2122,"Kenai Peninsula Borough, AK",95.5
2130,"Ketchikan Gateway Borough, AK*",124.2
2150,"Kodiak Island Borough, AK",117.4
2158,"Kusilvak Census Area, AK*",55.3
2164,"Lake and Peninsula Borough, AK*",120.1
2170,"Matanuska-Susitna Borough, AK",84.3
2180,"Nome Census Area, AK*",94.4
2185,"North Slope Borough, AK",153.3
2188,"Northwest Arctic Borough, AK",87.9
2195,"Petersburg Borough, AK*",128.6
2198,"Prince of Wales-Hyder Census Area, AK*",80.3
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA)
2220,"Sitka City and Borough, AK",132.2
2230,"Skagway Municipality, AK*",149.6
2231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA)
2232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA)
2240,"Southeast Fairbanks Census Area, AK*",90.7
2261,"Valdez-Cordova Census Area, AK*",114.4
2275,"Wrangell City and Borough, AK*",87.5
2280,"Wrangell-Petersburg Census Area, AK*",(NA)
2282,"Yakutat City and Borough, AK*",108.2
2290,"Yukon-Koyukuk Census Area, AK*",108.4
2901,"Aleutian Islands Division, AK*",(NA)
2903,"Angoon Division, AK*",(NA)
2904,"Barrow-North Slope Division, AK*",(NA)
2905,"Bethel Division, AK*",(NA)
2907,"Bristol Bay Division, AK*",(NA)
2908,"Cordova-McCarthy Division, AK*",(NA)
2910,"Haines Division, AK*",(NA)
2912,"Kenai-Cook Inlet Division, AK*",(NA)
2916,"Kuskokwim Division, AK*",(NA)
2919,"Outer Ketchikan Division, AK*",(NA)
2920,"Prince of Wales Division, AK*",(NA)
2921,"Seward Division, AK*",(NA)
2922,"Sitka Division, AK*",(NA)
2923,"Skagway-Yakutat Division, AK*",(NA)
2924,"Southeast Fairbanks Division, AK*",(NA)
2925,"Upper Yukon Division, AK*",(NA)
2926,"Valdez-Chitina-Whittier Division, AK*",(NA)
2928,"Wrangell-Petersburg Division, AK*",(NA)
2929,"Yukon-Koyukuk Division, AK*",(NA)
4001,"Apache, AZ",63.1
4003,"Cochise, AZ",74
4005,"Coconino, AZ",88.4
4007,"Gila, AZ",74
4009,"Graham, AZ",58
4011,"Greenlee, AZ",73.2
4012,"La Paz, AZ*",56.8
4013,"Maricopa, AZ",87.6
4015,"Mohave, AZ",60.9
4017,"Navajo, AZ",59.1
4019,"Pima, AZ",80.9
4021,"Pinal, AZ",56.3
4023,"Santa Cruz, AZ",71.7
4025,"Yavapai, AZ",74
4027,"Yuma, AZ*",65.5
5001,"Arkansas, AR",83.2
5003,"Ashley, AR",63.9
5005,"Baxter, AR",68.2
5007,"Benton, AR",163.3
5009,"Boone, AR",66.3
5011,"Bradley, AR",72.5
5013,"Calhoun, AR",63.2
5015,"Carroll, AR",61.9
5017,"Chicot, AR",66.7
5019,"Clark, AR",66.7
5021,"Clay, AR",62.7
5023,"Cleburne, AR",70.4
5025,"Cleveland, AR",74.1
5027,"Columbia, AR",71.2
5029,"Conway, AR",70.1
5031,"Craighead, AR",68.9
5033,"Crawford, AR",60.5
5035,"Crittenden, AR",67.9
5037,"Cross, AR",66
5039,"Dallas, AR",63.6
5041,"Desha, AR",69.5
5043,"Drew, AR",68.2
5045,"Faulkner, AR",69.1
5047,"Franklin, AR",63
5049,"Fulton, AR",53.3
5051,"Garland, AR",73.5
5053,"Grant, AR",70.2
5055,"Greene, AR",64.1
5057,"Hempstead, AR",59.7
5059,"Hot Spring, AR",56.2
5061,"Howard, AR",64.8
5063,"Independence, AR",64.4
5065,"Izard, AR",56.2
5067,"Jackson, AR",65.9
5069,"Jefferson, AR",64.9
5071,"Johnson, AR",53.2
5073,"Lafayette, AR",66.7
5075,"Lawrence, AR",64.5
5077,"Lee, AR",50.7
5079,"Lincoln, AR",49.6
5081,"Little River, AR",62.6
5083,"Logan, AR",63.3
5085,"Lonoke, AR",71.2
5087,"Madison, AR",65.2
5089,"Marion, AR",56.5
5091,"Miller, AR",61.3
5093,"Mississippi, AR",57.7
5095,"Monroe, AR",60
5097,"Montgomery, AR",56.6
5099,"Nevada, AR",62.8
5101,"Newton, AR",52.9
5103,"Ouachita, AR",67.8
5105,"Perry, AR",64.1
5107,"Phillips, AR",57.2
5109,"Pike, AR",60.8
5111,"Poinsett, AR",59.4
5113,"Polk, AR",56.5
5115,"Pope, AR",64.8
5117,"Prairie, AR",66
5119,"Pulaski, AR",94
5121,"Randolph, AR",61.5
5123,"St. Francis, AR",51.3
5125,"Saline, AR",76
5127,"Scott, AR",57.7
5129,"Searcy, AR",52.4
5131,"Sebastian, AR",77.3
5133,"Sevier, AR",57.7
5135,"Sharp, AR",58.8
5137,"Stone, AR",57.1
5139,"Union, AR",85.4
5141,"Van Buren, AR",57.3
5143,"Washington, AR",73.9
5145,"White, AR",65.1
5147,"Woodruff, AR",69
5149,"Yell, AR",61.2
6001,"Alameda, CA",140.8
6003,"Alpine, CA",134.6
6005,"Amador, CA",82.3
6007,"Butte, CA",81.4
6009,"Calaveras, CA",91.6
6011,"Colusa, CA",90.2
6013,"Contra Costa, CA",151.5
6015,"Del Norte, CA",68.4
6017,"El Dorado, CA",123.9
6019,"Fresno, CA",79.1
6021,"Glenn, CA",89.3
6023,"Humboldt, CA",89.5
6025,"Imperial, CA",67.9
6027,"Inyo, CA",112.7
6029,"Kern, CA",72.9
6031,"Kings, CA",64.8
6033,"Lake, CA",79.3
6035,"Lassen, CA",69.5
6037,"Los Angeles, CA",114.3
6039,"Madera, CA",73.3
6041,"Marin, CA",246.6
6043,"Mariposa, CA",97.6
6045,"Mendocino, CA",92.1
6047,"Merced, CA",70.7
6049,"Modoc, CA",82.3
6051,"Mono, CA",94.3
6053,"Monterey, CA",103.2
6055,"Napa, CA",137.7
6057,"Nevada, CA",113.5
6059,"Orange, CA",127.2
6061,"Placer, CA",122.5
6063,"Plumas, CA",98.4
6065,"Riverside, CA",74.6
6067,"Sacramento, CA",96.5
6069,"San Benito, CA",98.9
6071,"San Bernardino, CA",74
6073,"San Diego, CA",112.7
6075,"San Francisco, CA",240
6077,"San Joaquin, CA",82.6
6079,"San Luis Obispo, CA",107.4
6081,"San Mateo, CA",232.1
6083,"Santa Barbara, CA",115.1
6085,"Santa Clara, CA",198.1
6087,"Santa Cruz, CA",127.4
6089,"Shasta, CA",85.6
6091,"Sierra, CA",85.6
6093,"Siskiyou, CA",82.8
6095,"Solano, CA",94.9
6097,"Sonoma, CA",118.5
6099,"Stanislaus, CA",81
6101,"Sutter, CA",81.8
6103,"Tehama, CA",78
6105,"Trinity, CA",74.6
6107,"Tulare, CA",74.2
6109,"Tuolumne, CA",87.9
